,Date,Precipitation,Precipitation_(-1d),Precipitation_(-7d),Volumetric Soil moisture,2m_Temp,surface_runoff,snowmelt,snow_albedo,snow_depth,P_evaporation,2m_temperature,lai_hv,lai_lv,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,Discharge,Evaporation,Sat_Area,Real time storage
0,1/14/1990,0,0,0,0.005456686,8.307882884,0,2.07E-07,0.854327807,0,0,287.7032505,2.34118502,0.514930719,0.012860485,0.05620768,622,232.819472,83.05779529,1692000
1,4/4/1990,0,0,0,0.05611834,14.29663077,0,0,0.879998376,0.00E+00,0,290.7274246,2.344631411,0.532530497,0.061050852,0.073914896,385,280.03154,81.26484,1639600
2,4/11/1990,0,0,0,0.022322655,17.14095622,0,0,0.88000387,0.00E+00,0,296.195757,2.34512819,0.534077951,0.039253725,0.077634784,36,661.206166,80.88661412,1626800
3,4/20/1990,0,0,0,0.11344097,13.94071959,5.77E-06,0,0.88000387,0.00E+00,0,291.3226481,2.345376579,0.535315914,0.116726756,0.085404037,0,536.174092,80.57968235,1613600
4,5/6/1990,0,0.319,1.164,0.11418036,14.37292573,0,2.17E-19,0.879998587,0,0,291.2434628,2.345295738,0.536659004,0.118193838,0.108626271,523,563.486792,80.21338235,1586200
5,5/13/1990,0,0,0,0.02350825,21.21133517,0,2.17E-19,0.879998587,0,0,299.7234988,2.345295738,0.53728515,0.03608383,0.110038833,765,1037.60469,79.46978824,1578100
6,6/23/1990,0,0,0,0.004564315,29.34043728,6.62E-07,2.17E-19,0.880004346,0,0,307.1582151,2.345746191,0.539022576,0.016320221,0.114735147,0,818.816969,78.27284824,1455300
7,8/10/1990,0,0,0,0.027810797,26.01031114,0,0,0.880000347,0.00E+00,0,304.7788168,2.349039314,0.554524368,0.041229384,0.139968348,71,496.993247,75.58039412,1321700
8,9/2/1990,0,0,0,0.034784093,25.68350855,0,2.71E-20,0.87999724,0,0,299.4608312,2.349404709,0.556630862,0.050237307,0.18281344,0,460.87925,75.07672235,1296800
9,9/11/1990,0,0,0,0.100310236,23.05092349,2.88E-07,2.71E-20,0.87999724,0,0,301.4625195,2.349404709,0.556630862,0.121004232,0.205152995,153,484.366402,74.55615176,1272800
10,9/27/1990,0,0,18.306,0.20626116,20.81457517,0,2.71E-20,0.880001538,0,0,299.0328937,2.347814446,0.548879605,0.198195981,0.215365363,214,362.765521,74.11413529,1251900
11,10/4/1990,0,0,0,0.33654857,17.08675399,0,0,0.880000237,1.39E-17,0,298.3467659,2.346834363,0.544439005,0.312025458,0.32464525,1030,364.577938,74.0952,1260900
12,10/13/1990,0,0,0,0.10949537,15.2669301,0,0,0.880000237,1.39E-17,0,293.4500111,2.345618345,0.538695037,0.09102914,0.248093851,44,395.919106,74.34788824,1271100
13,10/20/1990,0,0,0,0.04029773,17.17489572,0,0,0.880000237,1.39E-17,0,296.6499407,2.344969802,0.535971604,0.051936505,0.216311721,0,498.975733,74.14974706,1272600
14,10/29/1990,0,0,0,0.037875563,15.59607999,0,0,0.88000536,1.39E-17,0,293.8784595,2.344321258,0.533248171,0.041037823,0.195314112,23,337.866556,74.48532,1274300
15,3/29/1991,0,0,0,0.03421651,7.372257213,8.17E-08,1.06E-05,0.856858283,0.000545928,0,283.3746344,2.344231777,0.531200336,0.040291078,0.134588808,911,472.957294,77.46885882,1415400
16,4/7/1991,0,0,0,0.012532458,20.03668,0,2.17E-19,0.879998768,0,0,301.0161524,2.344714207,0.53320106,0.019058281,0.133114615,769,550.30327,77.00276118,1409600
17,4/14/1991,0,0,0,0.022296622,10.8781934,1.50E-06,2.17E-19,0.879834983,0,0,286.1583251,2.345210986,0.534748514,0.030466063,0.134210507,1290,486.03805,76.89574588,1403600
18,4/30/1991,0,0,0,0.033645883,16.63017105,0,2.17E-19,0.879998768,0,0,295.5664347,2.345376579,0.536192805,0.045569966,0.13564687,2490,709.888969,76.93994471,1416700
